,city,diesel
232,EFFELTRICH,1.218890423763968
233,EGGENFELDEN,1.2470790539329057
234,EGGLKOFEN,1.2150776638707665
235,EGGOLSHEIM,1.273163062665499
236,EGING,1.2552480094518907
237,EGING AM SEE,1.2344511509401417
238,EGLHARTING,1.20386598344505
239,EGLING,1.235861854264019
240,EGLOFFSTEIN,1.22522956747481
241,EHEKIRCHEN,1.2125745523558207
242,EICHENBUEHL,1.294434782608696
243,EICHENDORF,1.2188535080956115
244,EICHSTAETT,1.2232087818840849
245,EITENSHEIM,1.186801602924628
246,ELCHINGEN,1.1964746716697723
247,ELSENDORF,1.2276084409732424
248,ELSENFELD,1.2306095605026681
249,ELTMANN,1.2706048390904467
250,EMSKIRCHEN,1.2395284099179424
251,ENSDORF,1.2473729156139715
252,ERBENDORF,1.25961656961921
253,ERDING,1.2249282455302855
254,ERDWEG,1.2141098901098903
255,ERDWEG-GROSSBERGHOFEN,1.2151825726141088
256,ERGOLDING,1.2423800902110174
257,ERGOLDSBACH,1.2446246470179991
258,ERHARTING,1.2485031183606659
259,ERKHEIM,1.2218982072753426
260,ERLANGEN,1.2398603704924047
261,ERLENBACH,1.2390877974296546
262,ERNSGADEN,1.222242099086228
263,ESCHENFELDEN,1.2147163726261254
264,ESCHLKAM,1.2316139240506323
265,ESLARN,1.229947368421073
266,ESSELBACH,1.2258760411933756
267,ESSENBACH,1.2529924242424133
268,ESSENBACH/ALTHEIM,1.24693379310343
269,ESTENFELD,1.2228951820700915
270,ETTENSTATT,1.2184431818181827
271,EUERBACH,1.220598501404936
272,EUERDORF,1.2429527642324278
273,EUSSENHEIM-HUNDSBACH,1.2108993818745561
274,FAHRENZHAUSEN,1.2415659834856798
275,FAISTENHAAR,1.218054307116106
276,FALKENBERG,1.2681722628655199
277,FALKENSTEIN,1.2603605187893212
278,FARCHANT,1.2711864416508654
279,FEICHTEN,1.2353380281690092
280,FELDKIRCHEN,1.3112032361763934
281,FELDKIRCHEN-WESTERHAM,1.2129057171514146
282,FESSENHEIM,1.1812575917935781
283,FEUCHT,1.3654099497054628
284,FEUCHTWANGEN,1.2306669659951706
285,FICHTELBERG,1.2802041884816755
286,FINSING,1.235557693367859
287,FISCHACH,1.232299036777549
288,FISCHEN,1.2313541559112453
289,FISCHEN-LANGENWANG,1.2295453488372095
290,FLADUNGEN,1.2408659047112733
291,FLOSS,1.260410830879541
292,FORCHHEIM,1.2306667480624656
293,FORSTERN,1.2173206624376107
294,FORSTING PFAFFING,1.2015439714504514
295,FORSTINNING,1.2070944055944066
296,FRAMMERSBACH,1.2496067666617794
297,FRANKENWINHEIM,1.2267256532066542
298,FRASDORF,1.2573374011519898
299,FRAUENAU,1.2516662758473565
300,FREILASSING,1.239877642785165
301,FREISING,1.224349829029871
302,FREMDINGEN,1.2096875171656363
303,FRENSDORF,1.2441693443335078
304,FREYSTADT,1.2139177724971153
305,FREYUNG,1.240327260100468
306,FRIEDBERG,1.226376764874401
307,FRIESENRIED,1.2246620946032793
308,FRONTENHAUSEN,1.230908557049795
309,FUCHSTAL-ASCH,1.1914467232815749
310,FUCHSTAL-LEEDER,1.1422589285714198
311,FUERHOLZEN,1.487961815184893
312,FUERSTENFELDBRUCK,1.2312186076054297
313,FUERSTENFELDBRUECK,1.2132551728488552
314,FUERSTENSTEIN,1.2531440544353183
315,FUERSTENZELL,1.271485973211047
316,FUERTH,1.2348507741238075
317,FUESSEN,1.249948418449816
318,FURTH,1.2592135623698473
319,FURTH IM WALD,1.2532254222325858
320,GACHENBACH,1.221222222222222
321,GAIMERSHEIM,1.209374855803003
322,GANGKOFEN,1.2392844180982376
323,GARCHING,1.2425865694491067
324,GARCHING B. MUENCHEN,1.2408686215322888
325,GARMISCH-PARTENK.,1.267079647012499
326,GARMISCH-PARTENKIRCH,1.2802974041512702
327,GARMISCH-PARTENKIRCHEN,1.2722070596057224
328,GARS A. INN,1.226180823345518
329,GAUKOENIGSHOFEN,1.2387948063005638
330,GAUTING,1.255271405702045
331,GEFREES,1.302059825508953
332,GEIERSTHAL,1.236403035413153
333,GEISELHOERING,1.2259431326904469
334,GEISELWIND,1.2304641623446577
335,GEISENFELD,1.23550124069934
336,GEISENFELD - ILMENDORF,1.2263351843209984
337,GEISENHAUSEN,1.3585504997437647
338,GELTENDORF,1.2208323741482612
339,GEMUENDEN,1.2303920677244609
340,GEMUENDEN A. M.,1.2128401326089324
341,GEMUENDEN A.MAIN,1.2413123874324257
342,GEORGENSGMUEND,1.2113830338160532
343,GERBRUNN,1.2070460177300817
344,GERETSRIED,1.25804303055497
345,GERHARDSHOFEN,1.204016882665902
346,GERMARINGEN,1.2165689037202096
347,GERMERING,1.2496677405707604
348,GERODA,1.2123862701676682
349,GEROLDSGRUEN,1.2247130897674745
