uuid,name,brand,street,house_number,post_code,city,latitude,longitude,first_active,openingtimes_json,state
89f93610-d753-4993-af05-9e6e2decf62b,NUERNBERG - BOXDORFER HAUPTSTR. 51,SUPOL,BOXDORFER HAUPTSTR.,51,90427,NUERNBERG,49.51543,11.030703,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""07:00"",""endp"":""21:00""}]},{""applicable_days"":224,""periods"":[{""startp"":""08:00"",""endp"":""21:00""}]}]}",Bayern
8a1a2351-9ddb-4f26-afa3-694af9de4474,Aral Tankstelle,ARAL,ROSENHEIMER STRASSE,83,83064,RAUBLING,47.80479,12.1198769,2014-03-18 16:45:31+01,no data,Bayern
58eb7aab-3595-47c7-a15d-de4238fa1082,Aral Tankstelle,ARAL,LANDSHUTER STRASSE,110,93053,REGENSBURG,49.0030632,12.122612,2014-03-18 16:45:31+01,no data,Bayern
f32583dd-1ea3-4f1c-a185-d61f61aa929c,Aral Tankstelle,ARAL,GEWERBEPARK B,3,93086,WÖRTH AN DER DONAU,49.00064,12.3641567,2014-03-18 16:45:31+01,no data,Bayern
dfde0586-149b-4cc1-89c2-bcd020a2020f,Altdorf Äußere Parkstraße 21,OMV,ÄUSSERE PARKSTR.,21,84032,ALTDORF,48.54692,12.11249,2014-03-18 16:45:31+01,no data,Bayern
55a8ae86-e407-4b27-a825-25a8825f1cef,Aral Tankstelle,ARAL,HAUNSTETTER STRASSE,15,86343,KÖNIGSBRUNN,48.29028,10.8972206,2014-03-18 16:45:31+01,no data,Bayern
8a2cc672-2c7f-4322-a74f-c80336e49c9e,Esso Tankstelle,ESSO,ROSENHEIMER LANDSTR. 73, ,85521,OTTOBRUNN,48.06125447,11.66379537,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""05:45"",""endp"":""23:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""06:30"",""endp"":""23:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""07:00"",""endp"":""23:00""}]}]}",Bayern
193cdf46-69f7-4038-a719-e9ecc86a310f,Esso Tankstelle,ESSO,"BAB A9, OSTSEITE", ,90537,FEUCHT,49.356167,11.204004,2014-03-18 16:45:31+01,no data,Bayern
dceb1224-f840-45da-8f8d-d9eda6b64182,Aral Tankstelle,ARAL,AM EICHELBERG,2,91567,HERRIEDEN,49.25875,10.5018711,2014-03-18 16:45:31+01,no data,Bayern
8a6c984c-5eec-4b3a-afa1-e0ee8c6e412a,Shell Wuerzburg Schweinfurter Str. 5,SHELL,SCHWEINFURTER STR.,5,97080,WUERZBURG,49.799129,9.946224,2014-03-18 16:45:31+01,"{""overrides"":[{""startp"":""2021-06-01 06:00"",""endp"":""2021-06-01 22:00"",""is_close"":false},{""startp"":""2021-06-02 06:00"",""endp"":""2021-06-02 22:00"",""is_close"":false},{""startp"":""2021-06-03 06:00"",""endp"":""2021-06-03 22:00"",""is_close"":false},{""startp"":""2021-06-04 06:00"",""endp"":""2021-06-04 22:00"",""is_close"":false},{""startp"":""2021-06-05 06:00"",""endp"":""2021-06-05 22:00"",""is_close"":false},{""startp"":""2021-06-06 06:00"",""endp"":""2021-06-06 22:00"",""is_close"":false},{""startp"":""2021-06-07 06:00"",""endp"":""2021-06-07 22:00"",""is_close"":false}],""openingTimes"":[{""applicable_days"":255,""periods"":[{""startp"":""00:00"",""endp"":""00:00""}]}]}",Bayern
5b6fb9cd-18db-49f2-93e5-ea64be2bd4a3,Shell Berg Bei Hof Sieggrubenstr 5,SHELL,SIEGGRUBENSTR,5,95180,BERG BEI HOF,50.372021,11.788274,2014-03-18 16:45:31+01,no data,Bayern
5a8fc6fd-6f03-4157-a7af-b0ee2b75307b,Esso Tankstelle,ESSO,MUENCHNER STR. 14, ,82319,STARNBERG,48.002091,11.348624,2014-03-18 16:45:31+01,no data,Bayern
8a74bed8-1f27-4635-a710-8f395558f0e0,Shell Pressig Kronacher Str. 22,SHELL,KRONACHER STR.,22,96332,PRESSIG,50.342964,11.305114,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""06:00"",""endp"":""21:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""07:00"",""endp"":""21:00""}]},{""applicable_days"":192,""periods"":[{""startp"":""08:00"",""endp"":""21:00""}]}]}",Bayern
c3524a94-dc97-4ed5-876f-1a96f86d2652,Aral Tankstelle,ARAL,LANDSBERGER STRASSE,2,86836,GRABEN,48.1986732,10.8539486,2014-03-18 16:45:31+01,no data,Bayern
ced656ac-9f30-4d16-bfac-c3a7478bbbb3,Tankstelle Allescher,FREIE,KATZBACH ,9,93413,CHAM,49.235778,12.641612,2014-03-18 16:45:31+01,no data,Bayern
2b11b8fb-6ddf-4c58-b071-f7ba7b53708f,AVIA Tankstelle,AVIA,IM GEWERBEPARK,11,93158,TEUBLITZ,49.22215,12.09562,2014-03-18 16:45:31+01,"{""openingTimes"":[{""applicable_days"":31,""periods"":[{""startp"":""05:30"",""endp"":""22:00""}]},{""applicable_days"":32,""periods"":[{""startp"":""00:30"",""endp"":""22:00""}]},{""applicable_days"":64,""periods"":[{""startp"":""07:00"",""endp"":""21:30""}]}]}",Bayern
12cbc527-f8d4-42ad-4885-c00c926f8235,Andreas Fischer,TANKSTELLE FISCHER,UNTERE BUCHENHÖLLE,1,97289,THÜNGEN,49.939875,9.857354,2014-03-18 16:45:31+01,no data,Bayern
